Tender ID,Project Name,Project Type,Description,Duration Deadline (days),Location,Max Budget ($),Company ID,Bid Cost ($),Proposed Start Date,Estimated Duration (days),Employees,Experience (years),Company Value ($),Previous Contracts,Reputation Score,Location Advantage,Cost Deviation (%),Deadline Deviation (%),Numeric Rating,Accepted,Reason
1,Project_1,Industrial Complex,Description of Project_1 in Industrial Complex.,206,Suburban,17903433,Company_476,19125919.6,2025-09-16,299,105,39,273361981.25,21,0.94,0,6.83,45.15,93.02,1,Cost-effective and timely
1,Project_1,Industrial Complex,Description of Project_1 in Industrial Complex.,206,Suburban,17903433,Company_955,20971119.17,2025-04-02,212,531,27,109446817.21,25,0.9,0,17.13,2.91,87.48,1,Cost-effective and timely
1,Project_1,Industrial Complex,Description of Project_1 in Industrial Complex.,206,Suburban,17903433,Company_306,15881735.53,2025-12-03,192,215,27,67059956.22,41,0.56,1,-11.29,-6.8,74.85,1,Cost-effective and timely
1,Project_1,Industrial Complex,Description of Project_1 in Industrial Complex.,206,Suburban,17903433,Company_576,18659536.99,2025-02-07,264,380,25,308873702.27,9,0.98,0,4.22,28.16,84.07,1,Cost-effective and timely
1,Project_1,Industrial Complex,Description of Project_1 in Industrial Complex.,206,Suburban,17903433,Company_371,14743038.58,2025-12-17,241,845,20,136509293.15,9,0.96,0,-17.65,16.99,78.63,1,Cost-effective and timely
2,Project_2,Road Construction,Description of Project_2 in Road Construction.,585,Suburban,8896526,Company_363,7489649.17,2025-07-13,622,249,13,233064262.68,44,0.55,0,-15.81,6.32,65.69,0,High deviation in cost or deadlines
2,Project_2,Road Construction,Description of Project_2 in Road Construction.,585,Suburban,8896526,Company_908,7593978.29,2025-06-27,653,547,17,356136914.9,34,0.66,0,-14.64,11.62,71.49,1,Cost-effective and timely
2,Project_2,Road Construction,Description of Project_2 in Road Construction.,585,Suburban,8896526,Company_923,10329145.82,2025-08-17,543,931,10,452064076.3,9,0.78,1,16.1,-7.18,66.07,0,High deviation in cost or deadlines
2,Project_2,Road Construction,Description of Project_2 in Road Construction.,585,Suburban,8896526,Company_289,9547537.09,2025-11-05,575,885,39,140091573.19,30,0.59,0,7.32,-1.71,82.45,1,Cost-effective and timely
2,Project_2,Road Construction,Description of Project_2 in Road Construction.,585,Suburban,8896526,Company_718,10508316.64,2025-09-08,682,202,49,43189124.75,27,0.53,0,18.12,16.58,81.04,1,Cost-effective and timely
3,Project_3,Industrial Complex,Description of Project_3 in Industrial Complex.,307,Urban,4924002,Company_772,4349170.32,2025-01-15,335,530,6,114638093.92,41,0.93,0,-11.67,9.12,82.81,1,Cost-effective and timely
3,Project_3,Industrial Complex,Description of Project_3 in Industrial Complex.,307,Urban,4924002,Company_762,5391356.02,2025-03-16,293,984,50,50342216.17,12,0.53,0,9.49,-4.56,81.39,1,Cost-effective and timely
3,Project_3,Industrial Complex,Description of Project_3 in Industrial Complex.,307,Urban,4924002,Company_950,4539712.61,2025-06-03,267,911,27,474457137.57,34,0.99,0,-7.8,-13.03,96.4,1,Cost-effective and timely
3,Project_3,Industrial Complex,Description of Project_3 in Industrial Complex.,307,Urban,4924002,Company_542,5716112.5,2025-12-19,275,97,30,323543149.17,11,0.55,0,16.09,-10.42,68.16,0,High deviation in cost or deadlines
3,Project_3,Industrial Complex,Description of Project_3 in Industrial Complex.,307,Urban,4924002,Company_489,4929998.52,2025-06-06,258,849,7,482375335.01,18,0.9,1,0.12,-15.96,75.06,1,Cost-effective and timely
4,Project_4,Residential Building,Description of Project_4 in Residential Building.,359,Urban,9645493,Company_688,10890526.33,2025-01-19,445,455,12,188106722.37,24,0.63,1,12.91,23.96,63.47,0,High deviation in cost or deadlines
4,Project_4,Residential Building,Description of Project_4 in Residential Building.,359,Urban,9645493,Company_56,9963621.84,2025-10-13,339,407,22,102013776.38,46,0.71,1,3.3,-5.57,83.45,1,Cost-effective and timely
4,Project_4,Residential Building,Description of Project_4 in Residential Building.,359,Urban,9645493,Company_146,9092787.79,2025-10-27,311,381,26,184195310.15,50,0.99,1,-5.73,-13.37,102.52,1,Cost-effective and timely
4,Project_4,Residential Building,Description of Project_4 in Residential Building.,359,Urban,9645493,Company_201,11253450.47,2025-03-10,340,319,42,375009131.44,48,0.69,0,16.67,-5.29,92.19,1,Cost-effective and timely
4,Project_4,Residential Building,Description of Project_4 in Residential Building.,359,Urban,9645493,Company_344,10937305.19,2025-07-06,400,749,29,210270672.92,2,0.89,0,13.39,11.42,79.89,1,Cost-effective and timely
5,Project_5,Residential Building,Description of Project_5 in Residential Building.,358,Urban,7990232,Company_792,7130060.49,2025-01-20,318,773,50,173793057.72,3,0.64,1,-10.77,-11.17,83.1,1,Cost-effective and timely
